5948/25,CERTIFICADO,2," $ 405,392,543.30 ",AGOSTO,NO,,,,,,,,,,
6561/25,CERTIFICADO,3," $ 63,028,124.15 ",SEPTIEMBRE,,,,,,,,,,,
,,," $ 1,015,534,628.24 ",,,,,,,,,,,,
N° EXP.,BASICO/ DIC 24,N°, CLUB SPORTIVO CORRIENTES - CAPITAL ,26.18%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 151,067,789.97 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
5240/25,ANTICIPO,0," $ 15,106,779.00 ",JULIO,NO,,,,,,,,,,
5988/25,CERTIFICADO ,1," $ 19,907,704.17 ",AGOSTO,NO,,,,,,,,,,
6659-2025,CERTIFICADO ,2," $ 7,566,120.04 ",SEPTIEMBRE,NO,,,,,,,,,,
,CERTIFICADO ,3," $ 19,679,019.20 ",OCTUBRE,NO,,,,,,,,,,
,,," $ 62,259,622.41 ",,,,,,,,,,,,
N° EXP.,BASICO/ DIC 24,N°," INFRA ELECTRICA - NEXO DE M.T. 13,2 KV + R.B.T. P/ 15 VIV - BONPLAND ",100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 151,497,843.25 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3157/25,CERTIFICADO,1," $ 47,805,747.15 ",ABRIL,NO,,,,,,,,,,
3990/25,CERTIFICADO,2," $ 84,375,400.31 ",MAYO,NO,,,,,,,,,,
4584/25,CERTIFICADO,3," $ 3,456,895.16 ",JUNIO,NO,,,,,,,,,,
5238/25,CERTIFICADO,4," $ 710,016.30 ",JULIO,NO,,,,,,,,,,
,,," $ 136,348,058.92 ",,,,,,,,,,,,
N° EXP.,BASICO/ ENE 25,N°," CONSOLIDACION DE TERRAPLEN C/ COLCHONETAS - B° 36 
VIV. - COLONIA LIEBIG ",100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 59,890,216.66 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
4592/25,CERTIFICADO,1," $ 59,890,216.66 ",JULIO,NO,,,,,,,,,,
N° EXP.,BASICO/ DIC 24,N°, CONST 10 VIV - GR 1 - YAPEYU ,0.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 910,663,857.63 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3312/25,ANTICIPO,0," $ 136,599,581.95 ",ABRIL,NO,,,,,,,,,,
N° EXP.,BASICO/ NOV 24,N°, EJEC DE SALIDA - COMEDOR TÉC. - CANTINAS - ANFITEATRO ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 150,178,372.43 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3224/25,CERTIFICADO,3," $ 7,646,063.87 ",ABRIL,NO,,,,,,,,,,
